SKU,Brand,Description,Buy Date,DRS Cost
S002376748,Weekday,WB Shorts,2024-08-09,3.6
S002376796,Altar'd State,WB Shorts,2024-08-09,2.4
S002380557,Old Navy,WB Shorts,2024-08-17,1.8
S002382100,Fashion Nova,WB Shorts / 2pc,2024-08-21,3
S002384222,Wild Fable,WB Shorts,2024-08-25,1.8
S002384824,Better Be,WB Shorts,2024-08-27,1.8
S002387919,*Other Brand - Grade 3 (A-),WB Shorts,2024-09-04,2.4
S002392490,All in Motion,WB Shorts,2024-09-14,1.33
S002393902,Divided,WB Shorts,2024-09-17,1.8
S002398359,Abound,WB Shorts/2pc,2024-09-28,1.8
S002404061,John Galt,WB Shorts,2024-10-14,2.4
S002406415,Missguided,WB Shorts,2024-10-21,2.4
S002406416,Missguided,WB Shorts,2024-10-21,2.4
S002413526,American Eagle,WB Shorts,2024-11-14,3
S002419879,American Eagle,WB Shorts,2024-12-02,2.4
S002423378,Free People,WB Shorts,2024-12-14,3.6
S002426616,*Other Brand - Grade 3 (A-),WB Shorts/rockies,2024-12-29,2.4
S002430002,Wild Fable,WB Shorts,2025-01-16,1.8
S002432880,Divided,WB Shorts,2025-01-28,1.8
S002433949,zara,WB Shorts/2PC,2025-02-01,1.8
S002439329,gilley hicks,WB Shorts,2025-02-21,1.07
S002441995,Pilcro,WB Shorts,2025-03-03,3.6
S002445472,Bullhead,WB Shorts,2025-03-14,2.4
S002447306,Shein,WB Shorts,2025-03-19,1.33
S002449410,Old Navy,WB Shorts,2025-03-26,1.8
S002449487,Pac Sun,WB Shorts,2025-03-26,2.4
S002449803,No Boundaries,WB Shorts,2025-03-27,1.33
S002450036,Old Navy,WB Shorts,2025-03-28,1.8
S002450053,Shein,WB Shorts,2025-03-28,1.33
S002450752,A New Day,WB Shorts,2025-03-30,2.4
S002450791,St. John's Bay,WB Shorts,2025-03-30,1.8
S002454024,Hollister,WB Shorts,2025-04-09,2.4
S002457590,Madewell,WB Shorts,2025-04-19,3.6
S002458011,Shein,WB Shorts,2025-04-21,1.33
S002458012,Shein,WB Shorts,2025-04-21,1.33
S002458013,Sonoma,WB Shorts,2025-04-21,1.33
S002463015,Juicy Couture,WB Shorts  / 2pc,2025-05-06,1.8
S002464746,Refuge,WB Shorts,2025-05-10,2.4
S002465195,torrid,WB Shorts,2025-05-10,3
S002466662,Kancan,WB Shorts,2025-05-15,3.6
S002467415,Showpo,WB Shorts,2025-05-16,3.6
S002468839,Levi,WB Shorts,2025-05-20,2.4
S002473246,aerie,WB Shorts  / 2pc,2025-06-01,2.4
S002474108,Aeropostale,WB Shorts,2025-06-05,3
S002474676,*Other Brand - Grade 3 (A-),WB Shorts,2025-06-07,2.4
S002474742,Buckle Black,WB Shorts,2025-06-07,2.4
S002475600,Guess,WB Shorts,2025-06-12,3
S002476080,*Other Brand - Grade 3 (A-),WB Shorts,2025-06-16,2.4
S002477871,Forever 21,WB Shorts,2025-06-27,1.8
S002479052,Forever 21,WB Shorts,2025-07-03,2.4
S002479357,Abercrombie & Fitch,WB Shorts,2025-07-05,3
S002480796,Levi,WB Shorts,2025-07-11,4.22
S002481648,Vigoss,WB Shorts,2025-07-15,2.4
S002486624,Skims,WB Shorts,2025-08-04,3.6
S002488729,Abercrombie & Fitch,WB Shorts,2025-08-09,3
S002490997,H & M,WB Shorts/asis,2025-08-15,2.4
S002498523,*Other Brand - Grade 3 (A-),WB Shorts  /2 pc pink,2025-09-10,3
S002500735,Ed Hardy,WB Shorts,2025-09-21,1.8
S002507609,*Other Brand - Grade 3 (A-),WB Shorts,2025-10-17,1.8
S002525760,Forever 21,WB Shorts,2026-01-05,1.8
S002533992,Wild Fable,WB Shorts,2026-02-16,1.8
S002534955,Abercrombie & Fitch,WB Shorts,2026-02-21,3.6
S002535383,Juicy Couture,WB Shorts / Sleepwear,2026-02-23,1.33
S002535384,Juicy Couture,WB Shorts / Sleepwear,2026-02-23,1.33
S002536431,Edikted,WB Shorts/PJ's,2026-03-01,3.6
S002537417,*Other Brand - Grade 1 (B),WB Shorts/floral 2pc,2026-03-05,1.33
S002537458,John Galt,WB Shorts,2026-03-06,4.55
S002537459,John Galt,WB Shorts,2026-03-06,4.55
S002537917,tna,WB Shorts,2026-03-07,3.6
S002538702,BDG,WB Shorts,2026-03-10,2.4
S002539713,*Other Brand - Grade 3 (A-),WB Shorts/sleepwear 2pc,2026-03-14,2.4
S002539726,*Other Brand - Grade 3 (A-),WB Shorts/sleepwear 2pc,2026-03-14,1.8
S002540256,Juicy Couture,WB Sleep Shorts,2026-03-17,2.4
S002540257,Juicy Couture,WB Sleep Shorts,2026-03-17,1.8
S002541550,Pink by Victoria's Secret,WB Shorts/2pc,2026-03-21,3
S002542513,*Other Brand - Grade 3 (A-),WB Shorts/allie rose,2026-03-24,2.4
S002542603,Pac Sun,WB Shorts,2026-03-25,2.4
S002542786,*Other Brand - Grade 1 (B),WB Shorts / tgla,2026-03-26,1.33
S002543074,Paige,WB Shorts,2026-03-27,2.4
S002543105,*Other Brand - Grade 1 (B),WB Sleep Bottoms 2 pc,2026-03-27,1.33
S002543107,*Other Brand - Grade 1 (B),WB Sleep Bottoms 2 pc,2026-03-27,1.33
S002543290,Joyspun,W Sleep Shorts,2026-03-28,1.87
S002544498,*Other Brand - Grade 3 (A-),WB ShortsSTRIPE,2026-03-31,2.4
S002545677,Universal Thread,WB Shorts,2026-04-06,1.8
S002545813,*Other Brand - Grade 3 (A-),WB Shorts/pink,2026-04-06,3
S002546082,*Other Brand - Grade 3 (A-),WB Shorts,2026-04-07,2.4
S002546897,aerie,WB Shorts  / 2 pc,2026-04-11,1.8
S002547018,Joyspun,WB Shorts/2pc,2026-04-11,1.33
S002547365,*Other Brand - Grade 3 (A-),WB Sleep Shorts,2026-04-13,2.4
S002547577,Brandy Melville,WB Shorts/2pc,2026-04-14,3
S002547579,Brandy Melville,WB Shorts/2pc,2026-04-14,3
